STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Arkansas,1936,Presidential Electors,,Democratic,Democratic,158627
Arkansas,1936,Presidential Electors,,Republican,Republican,42121
Arkansas,1936,House,1,E. C. Gathings,Democrat,33227
Arkansas,1936,House,2,Wilbur D. Mills,Democrat,26105
Arkansas,1936,House,3,Clyde T. Ellis,Democrat,21060
Arkansas,1936,House,4,Claude M. Williams,Republican,8566
Arkansas,1936,House,4,Tadio Cravens,Democrat,36969
Arkansas,1936,House,5,David T. Terry,Democrat,28697
Arkansas,1936,House,6,W. F. Norrell,Democrat,27972
Arkansas,1936,House,7,Oren Harris,Democrat,26994
California,1936,Presidential Electors,,Democratic,Democratic,1877618
California,1936,Presidential Electors,,Republican,Republican,1351419
California,1936,Presidential Electors,,Progressive,Progressive,16506
California,1936,Presidential Electors,,Communist,Communist,13586
California,1936,Presidential Electors,,Prohibition,Prohibition,9400
California,1936,Presidential Electors,,Scattering,Scattering,262
California,1936,Senate,,Hiram W. Johnson,Republican Democratic Progressive,2238999
California,1936,Senate,,Fred Dyster,Prohibition,86044
California,1936,Senate,,Anita Whitney,Communist,97478
California,1936,Senate,,John Anson Ford,Write-In,4715
California,1936,Senate,,Scattering,Scattering,4029
California,1936,House,1,Clarence R. Lea,Democrat Republican,103547
California,1936,House,1,Albert S. Lima,Communist,5647
California,1936,House,1,Ernest S. Mitchell,Write-In,1284
California,1936,House,1,Scattering,Scattering,5
California,1936,House,2,Harry L. Englebright,Republican Democrat Progressive Townsend,71033
California,1936,House,2,Frank H. Buck,Democrat Republican,135461
California,1936,House,2,C. H. Farnam,Prohibition,10539
California,1936,House,2,Charles Grieux,Communist,2731
California,1936,House,2,George Kimzey,Write-In,122
California,1936,House,2,Scattering,Scattering,16
California,1936,House,3,Thomas Rolph,Republican,75369
California,1936,House,4,Frank C. Havener,Democrat Progressive,61841
California,1936,House,4,Archie Brown,Communist,1322
California,1936,House,4,Scattering,Scattering,2
California,1936,House,5,Richard J. Welch,Republican Democrat,11922
California,1936,House,5,Walter R. Lambert,Communist,5232
California,1936,House,5,Scattering,Scattering,11
California,1936,House,6,Albert E. Carter,Republican Democrat Progressive Townsend,131584
California,1936,House,6,Clarence Paton,Communist,5426
California,1936,House,6,Scattering,Scattering,22
California,1936,House,7,John H. Tolan,Democrat,72838
California,1936,House,7,Ralph R. Eltse,Republican,56808
California,1936,House,7,Alfred R. Johnson,Communist,1707
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
MISSOURI,1944,Presidential,,,,958476
MISSOURI,1944,Presidential,,,,871009
MISSOURI,1944,Presidential,,,,2296
MISSOURI,1944,Presidential,,,,1309
MISSOURI,1944,Presidential,,,,209
MISSOURI,1944,Senate,,Harry S. Truman,Democratic,930775
MISSOURI,1944,Senate,,Manvel H. Davis,Republican,886376
MISSOURI,1944,Senate,,W. F. Rinek,Socialist,1566
MISSOURI,1944,Senate,,Theodore Baerf,Socialist Labor,196
MISSOURI,1944,House,1,Milton A. Romjue,Democratic,62461
MISSOURI,1944,House,1,Henry S. Beardsley,Republican,61123
MISSOURI,1944,House,2,William L. Nelson,Democratic,77922
MISSOURI,1944,House,2,Roy O. Miller,Republican,76944
MISSOURI,1944,House,2,Fred Umsted,Socialist Labor,77
MISSOURI,1944,House,3,Richard M. Duncan,Democratic,77444
MISSOURI,1944,House,3,Fred Magruder,Republican,67737
MISSOURI,1944,House,3,C. Jasper Bell,Democratic,72831
MISSOURI,1944,House,4,John W. Mitchell,Republican,48112
MISSOURI,1944,House,4,William Henke,Socialist Labor,12
MISSOURI,1944,House,5,Joseph B. Shannon,Democratic,63022
MISSOURI,1944,House,5,Forest W. Hanna,Republican,53390
MISSOURI,1944,House,5,Karl Oberheu,Socialist Labor,19
MISSOURI,1944,House,6,Phil A. Bennett,Republican,78716
MISSOURI,1944,House,6,Reuben T. Wood,Democratic,67902
MISSOURI,1944,House,7,Dewey Short,Republican,86547
MISSOURI,1944,House,7,Vernon Sliars,Democratic,59347
MISSOURI,1944,House,8,Clyde Williams,Democratic,64269
MISSOURI,1944,House,8,Parke M. Banta,Republican,61567
MISSOURI,1944,House,8,William Doyen,Socialist Labor,3
MISSOURI,1944,House,9,Clarence Cannon,Democratic,80904
MISSOURI,1944,House,9,F. B. Meyer,Republican,69759
MISSOURI,1944,House,10,Orville Zimmerman,Democratic,69859
MISSOURI,1944,House,10,J. E. Davenport,Republican,51755
MISSOURI,1944,House,10,John B. Sullivan,Democratic,85722
MISSOURI,1944,House,11,Charles J. Riley,Republican,85028
MISSOURI,1944,House,11,James Wagner,Socialist Labor,22
MISSOURI,1944,House,11,Walter Ploeser,Republican,127005
MISSOURI,1944,House,12,C. Arthur Anderson,Democratic,108605
MISSOURI,1944,House,12,Peter Tendler,Socialist Labor,17
MISSOURI,1944,House,12,John J. Cochran,Democratic,82417
MISSOURI,1944,House,13,W. S. Sanford,Republican,45262
MISSOURI,1944,House,13,Norman Kochendorfer,Socialist Labor,17
MONTANA,1944,Presidential,,,,145698
MONTANA,1944,Presidential,,,,99579
MONTANA,1944,Presidential,,,,1443
MONTANA,1944,Presidential,,,,464
MONTANA,1944,Presidential,,,,489
STATE,YEAR,RACE_TYPE,CONGRESSIONAL_DISTRICT,CANDIDATE_NAME,CANDIDATE_PARTY,VOTES
Montana,1940,Senate,,Burton K. Wheeler,Democrat,176753
Montana,1940,Senate,,E. K. Cheadle,Republican,63941
Montana,1940,House,1,Jeannette Rankin,Republican,56616
Montana,1940,House,1,Jerry J. O'Connell,Democrat,47352
Montana,1940,House,2,James F. O'Connor,Democrat,33101
Montana,1940,House,2,Melvin N. Hoiness,Republican,49710
Montana,1940,House,2,Leverne Hamilton,Socialist,1196
Nebraska,1940,Presidential Electors,,,Republican,352201
